,제목,내용
169,"국제개발협력센터, 서포터즈 오디세이 7기 발대식"," 제주대학교 국제개발협력센터(센터장 신의철)는 지난 6일 서포터즈 오디세이 7기 발대식을 개최했다. 도내 대학생 12명으로 구성된 ‘오디세이 7기’는 약 7개월 간 지역 내 국제개발협력 이해 증진을 위해 다양한 홍보활동을 펼칠 예정이다. 이번 발대식은 센터 및 서포터즈 사업 소개, 우수 서포터 선배의 활동 수기 공유, 소그룹 활동 등으로 진행됐다. 특히 콘텐츠 기획 및 SNS 홍보 전략 특강을 통해 온·오프라인 홍보 역량을 강화할 수 있는 기회를 마련했다. 센터는 “서포터즈 활동을 통해 우수한 청년들이 제주지역 내 국제개발협력분야 미래 인재로 준비될 수 있도록 적극 지원할 것”이라고 밝혔다. 제주국제개발협력센터는 제주특별자치도-한국국제협력단(코이카)-제주대 3자간 MOU 체결을 통해 제주지역 공적개발원조(ODA)의 핵심거점으로 지역 ODA사업 활성화와 지역의 국제화를 위해 제주대에 설립된 기관이다."
170,"기초과학연구소, ‘우도 해조류 다양성’ 도감 중앙도서관에 기증"," 제주대학교 기초과학연구소(소장 김명숙)는 대학 중앙도서관(관장 강희경)에 ‘제주 우도의 해조류 다양성’(저자 김명숙 교수, 강정찬ㆍ김병석ㆍ양미연ㆍ이형우 박사) 도감을 대학 중앙도서관에 기증했다고 10일 밝혔다. 이 책은 제주도에서 서식하는 해조류 중 ‘우도’ 연안에 출현하는 분류군에 한정해 246종의 녹조류, 갈조류, 홍조류를 수록했다. 이 책에는 바닷가 현장에서 동정(同定)하기 쉽도록 해조류 생태 이미지를 포함하고 있으며, 일부 소형 해조류는 표본을 제시했다. 모든 이미지는 우도 연안에서 10여 년에 걸쳐 촬영하고 채집한 해조류 표본에 근거했다. 기초과학연구소에 따르면 최근 지구온난화에 따른 해수온 상승으로 해양 생태계의 이상 징후와 함께 생물자원에 변화가 생기고 있어 제주도 연안의 해조류 다양성 및 풍부성을 보전하기 위한 대책 마련이 시급하다. 기초과학 자율운영중점연구소는 제주도가 우리나라 생물자원 주권 확립의 중심이 되도록 하기 위해 2019년부터 ‘제주도 생물다양성 인벤토리 구축 연구’를 지원했다. 그 결과 2021년 ‘제주 연안의 식물플랑크톤 도감’을 발간했고 ‘제주 우도의 해조류 다양성’은 두 번째 결실이다. 자율운영중점연구소는 올해도 제주도의 ‘약용 식물자원 및 멸종위기종 다양성’에 대한 도감을 각각 연속해서 출판할 계획이다.  저자들은 발간사에서 “제주 연안의 블루카본인 해조류 다양성에 대한 도감 출판으로 우리나라의 수산자원인 해조류를 체계적으로 관리하는데 귀중한 정보를 제공할 수 있게 됐다. 특히 이 도감은 제주도 우도지역의 해조류 다양성에 관심있는 일반인들과 학생들을 위한 교육자료로 활용될 수 있다”고 밝혔다. "
171,호주 태즈메이니아와 교육 교류 활성화 논의," 제주대학교는 지난 9일 제주도청에서 열린 제주-호주 태즈메이니아 우호도시 25주년을 기념한‘교육분야 교류활성화를 위한 웹 세미나’에 참석, 양 지역 대학 간 교류 방안에 대해 의견을 교환했다. 이번 웹 세미나는 지난 2020년부터 제주도가 태즈메이니아와 교류 활성화를 위해 시리즈로 열고 있는 행사 중 하나며 이번 주제가‘교육’이어서 제주도를 대표하는 고등교육기관인 제주대가 발표를 맡았다. 제주도, 제주대, 태즈메이니아주정부, 태즈메이니아주립대, 스터디 태즈메이니아, 주호주 한국대사관 등이 참석한 이번 세미나에서 제주대는 대학을 소개하고 추진 중인 국제교류 사업을 안내했다. 또 양 지역 대학 간 교류 활성화 방안에 대해서도 논의했다. 제주대 국제교류본부는 “이번 세미나를 계기로 태즈메이니아와 교육분야에서 교류가 더욱 활성화되고 활발한 학생교류로 이어져 나갈 수 있기를 기대한다”고 밝혔다. 태즈메이니아주는 호주 대륙 동남쪽 240 km에 위치한 섬으로 훼손되지 않은 자연 환경 덕택에 ‘자연의 주'와 '영감의 섬'으로 불린다. 면적 37%가 국립공원, 세계문화유산으로 보호 중이며 인구는 50여만 명 정도다."
172,"김일환 총장 ""경쟁력 강화 글로벌 대학 육성"""," 취임 및 정책 기자회견..미래형 스마트 캠퍼스 구축 등 비전 달성 목표 제시 김일환 제주대학교 총장은 9일 “글로벌 경쟁력을 강화해 세계인이 다니고 싶어하는 대학이 되도록 하겠다”고 말했다. 김 총장은 이날 취임 후 가진 첫 기자회견에서 “올해 발표된 THE 세계대학 영향력 평가에서 제주대는 600위권에서 300위권으로 전년대비 300위가 상승하는 성과를 보였다”며 “우리 대학 구성원들이 함께하고 함께 만들 4년 후에는 각종 세계 대학 평가에서 현재보다 400~500위권을 앞서겠다”며 이같이 밝혔다. 김 총장은 대학 경영 비전을 ‘함께 만드는 미래, 새로움을 향한 도약’이라고 소개하고 이를 달성하기 위한 7가지 목표를 제시했다. 7가지 목표는 △교양과 미래 역량을 갖춘 창의인재 양성 △지속 성장을 위한 연구 생태계조성 △대학 구성원 모두가 함께 누리는 행복한 공동체 △미래형 스마트 캠퍼스 구축 △투명 행정과 열린 소통의 합리적 거버넌스 △제주와 상생하는 지역거점대학 △누구나 다니고 싶은 자랑스러운 대학이다. 그는 “이러한 7가지 목표 달성을 위한 세부 추진과제로 104개의 과제를 선정, 추진하고 있다”고 했다. ‘미래형 스마트 캠퍼스 구축’과 관련해선 가상 증강현실(VR, AR)을 이용한 원격교육 강좌 제작 및 활용, 가상 증강현실(VR, AR)을 활용한 교수법 지원 프로그램 운영, 무중단 고성능 무선인터넷 환경 구축, 미래형 스마트 교양강의동 구축, AI 융복합관(학생학습)을 제시했다.또 ‘제주와 상생하는 지역거점대학’을 위해 △옛 제주대병원 공간을 활용한 평생교육 학습장 추진 △산학연관 공동연구 활성화 협의체 구성 △고교학점제 및 자유학년제 연계교육 지원 △취업 지원 등을 통한 지역인재의 정주여건 조성 등을 모색하겠다고 했다.  김 총장은 “공유와 협력의 가치 하에 제주의 지자체, 대학, 지역혁신기관이 역량을 결집하고, 제주지역의 경제·산업체계를 뒷받침하는 지속가능한 인재양성체계 구축이 절대적으로 필요한 시기”라며 “우리 대학의 혁신을 곧 제주지역의 혁신으로 연계시켜 상생할 수 있도록 대학의 지역혁신역량을 강화함으로써, 제주와의 동반성장을 구축해 나가는 데 적극적으로 협력해 나갈 것을 약속드린다”고 말했다. 그러면서 ""제주대의 미래는 곧 제주의 미래이자, 대한민국의 미래""라며 ""도민이 사랑하고 지지하는 대학, 모든 사람들이 오고 싶고, 다니고 싶고, 함께하고 싶은 자랑스러운 대학으로 만들겠다""고 강조했다. "
173,미술학과 교수작품전 ‘2022 백록담전’ 개최," 제주대학교 예술디자인대학 미술학과 교수작품전인 ‘2022 백록담전’이 이달 7일부터 12일까지 제주도문예회관 제1전시실에서 열린다. 49회째를 맞는 이번 ‘백록담전’은 올해 개교 70주년을 맞아 70주년 기념행사 일환으로 열리고 있다. 이 행사는 제주도민과 예술인, 학생들에게 향토미술의 진수를 선보임과 동시에 지역문화의 소통 공간으로 자리매김해 문화예술 교육의 밑거름이 돼왔다. 이번 전시에는 미술학부 교수 6명과 시간강사 16명이 참여해 설치작품 5점과 영상 1점, 회화 16점등 총 22점의 작품들이 선보인다. 문의 754-2810. ◆ 참여작가 = 박성진 강민석 손일삼 이창희 이승수 이수목 고은 김용원 김유경 서기환 유창훈 고보형 김강훈 문창배 변금윤 안진희 오승익 이승현 강문석 강주현 송재경 박여순  "
174,‘THE 세계대학 영향력 평가’ 세계 300위권 랭킹," 전년대비 300위 상승, 국내 공동 11위 차지 제주대학교는 영국 글로벌 대학 평가기관인 THE(Times Higher Education)가 발표한 ‘2022 THE 세계대학 영향력 순위(THE University Impact Rankings 2022)’에서 세계 301-400위에 올랐다고 4일 밝혔다. 2021년 평가에 첫 참여해 601-800위를 기록했던 제주대는 1년 만에 300-400위 상승해 성균관대, 이화여대, 부산대와 함께 국내 공동 11위를 차지했다. 'THE 세계대학 영향력 평가'는 UN의 지속가능발전목표(Sustainable Development Goals, SDGs) 달성에 대한 대학의 기여도를 평가하는 글로벌 랭킹이다. 올해 평가에는 106개국 1천406개 대학이 참여했다. 제주대는 평가분야 중 ▷빈곤퇴치(SDG 1) 분야에서는 세계 100위권 ▷산업·혁신과 인프라(SDG 9) 분야에서도 세계 100위권 ▷지속가능한 도시와 지역 사회(SDG 11) 분야는 세계 200위권 ▷SDG를 위한 글로벌 파트너십(SDG 17) 분야도 세계 200위권을 기록해 지속가능한 발전 목표 달성을 위해 부단히 노력하고 있는 대학의 성과를 인정받았다. 김일환 총장은 “기후변화에 대응하기 위해 제주도가 가진 지형적 특징을 살려 육상·해양 생태계 연구는 물론 신재생에너지 분야의 연구를 지속적으로 확대해 갈 계획이다. 아울러, 제주의 역사와 문화를 보존하고 발전시켜 가기 위해 제주방언, 제주해녀문화 등 제주와 관련된 학술연구 진흥은 물론 다양한 프로그램을 공유하여 제주의 역사와 문화가 대중들의 삶의 일부로 자리잡을 수 있도록 노력하겠다“고 밝혔다."
175,"산학협력단, (주)제우스와 감귤 신품종개발 연구 협약", 제주대학교 산학협력단(단장 이영돈)과 ㈜제우스(대표이사 김한상)은 지난 2일 제주대에서 감귤 신품종 개발을 위한 연구용역 협약을 체결했다. 협약 체결에는 제주대 원예생명과학부 송관정 교수도 함께 참여했다. 양 기관은 협약에 따라 5년에 걸쳐 공동으로 신품종 감귤을 육성하고 제우스가 육묘와 보급을 담당한다. ㈜제우스는 협약 실현을 위해 연 1000만원의 연구비를 5년간 지원한다. 이번 협약은 제주대와 제우스가 제주도의 감귤산업 발전을 위해 “신품종 감귤의 개발과 육종이 필요하다”는데 의견을 같이해 진행됐다. 제주대는 “향후 연구 개발기간 동안 고품질 감귤 신품종 무병묘 생산 및 공급체계를 선진국 수준으로 향상시키고 배수체 개발 및 무핵 삼배체 감귤품종 개발기술과 품질향상 기술의 확보가 이루어 질 전망”이라고 밝혔다. 김한상 대표는 “감귤산업은 제주 지역경제의 핵심이지만 국내 품종의 자급률이 적고 감귤 신품종에 대한 로열티 지급 분쟁의 우려가 높다”며 이번 연구협약의 중요성을 강조했다. 양 기관은 이번 협약을 통한 연구가 성공적으로 이뤄질 수 있도록 적극 협조키로 했다.
176,"GTEP사업단, 지역기업 ‘코삿’과 수출지원 업무협약"," 제주대학교 지역특화청년무역전문가양성사업단(단장 허윤석 무역학과 교수, 이하 GTEP)은 무역전문인력 양성과 도내 중소기업들과의 산학협력을 통한 수출증대 및 협력업체의 해외시장개척을 위해 지역기업 ‘코삿’ 등 7곳과 수출지원 신규협약을 체결했다고 4일 밝혔다. 지역기업들은 유능한 기술을 기반으로 그동안 해외 수출확대를 적극 모색하고 추진해왔으나 무역 전담 인력이 부족해 해외 시장 개척에 어려움을 겪어왔다. 이번 협약을 통해 제주대 GTEP 사업단의 학생들은 기업을 도와 무역 실무 전반을 체득하고 기업들은 학생들을 통해 해외수출의 기회를 얻는다. 이는 기업과 학생 모두에게 좋은 기회가 될 것으로 기대되고 있다. 한편 산업통상자원부와 한국무역협회에서 주관하고 제주특별자치도에서 지원하는 GTEP사업은 교육 및 실습을 통해 청년 무역전문가를 양성해 도내 수출초보기업들의 해외시장 진출을 도우며 지역특화형태의 무역전문가양성사업을 추진해 오고 있다."
177,"박사과정 전지윤 씨, 우수포스터상 수상",제주대학교 일반대학원 수의학과 박사과정 전지윤(지도교수 신태균)씨가 최근 충북 오송에 위치한 H호텔 세종시티에서 개최된 '2022년 대한수의학회 춘계학술대회'에서 우수포스터상을 수상했다. 전지윤 씨는 'Glycoconjugate-specific developmental changes in the horse vomeronasal organ (말의 서골코기관에서 발달단계에 따른 당접합체특정의 변화)'을 발표해 우수포스터상을 수상하였다. 이번 학술대회에선 '수의학에서 빅데이터와 인공지능의 적용(Application of Big-Data and AI in Veterinary Medicine)'을 주제로 관련 연구 활동 및 성과에 대한 발표와 토론 및 교류가 이뤄졌다.
178,"기초과학연구소-(주)크로넥스, 바이오융합연구 업무협약 및 세미나","    제주대학교 기초과학연구소(소장 김명숙)와 ㈜크로넥스(대표이사 손영준)는 지난 4월 29일 자연과학대학 2호관 캡스톤디자인실에서 상호협력 증진을 위한 업무협약 체결하고 연구자 교류 활성화와 연구성과 공유를 위한 공동세미나도 개최했다. 양 기관은 이번 업무협약 체결을 통해 △바이오 산업의 융？복합 공동연구 상호협력 △바이오소재개발 전문인력 양성을 위한 공동 교류협력 △협력사업？세미나 및 기타 상호 관심이 있는 공동회합의 구성 및 참여 등을 위한 활동에 상호 협력키로 했다. 이날 세미나는 기초과학 자율운영중점연구소 바이오융합연구센터(센터장 강인혜 교수)에서 주관하는 2022년도 ’제1회 연계기관 공동세미나‘ 행사다. ㈜크로넥스 허창기 이사가 ’이종장기 생산 및 산업적 이용‘, 자율운영중점연구소 세부과제를 수행중인 수의학과 고은주 교수가 ’면역증강물질의 백신 어쥬번트로의 활용‘를 주제로 발표했다. 기초과학연구소는 “이번 업무협약과 공동세미나를 통해 바이오산업 관심을 증진시키고  면역증강 물질의 연구 협력 등 바이오융합 연구활동에 있어 양 기관이 함께 발전해나갈 것으로 기대한다”고 밝혔다."
179,"국제개발협력센터, ODA 정규교육 기본과정 운영","   제주대학교(총장 김일환) 제주국제개발협력센터(센터장 신의철)가 오는 13일과 14일 양일간 비대면 온라인 방식으로 공적개발원조(ODA) 정규교육 기본과정을 운영한다고 3일 밝혔다. 이번 교육 주제는 △국제개발협력과 ODA △국제개발협력의 역사 △한국의 국제개발협력 △국제개발협력의 다양한 주체 △국제개발협력의 최근 동향과 이슈 △글로벌 시민교육과 진로탐색 등이다. 이 과정은 제주지역 뿐만 아니라 국제개발협력에 관심 있는 사람이면 누구나 수강할 수 있으며 5월 9일까지 포스터 QR코드를 통해 선착순으로 접수할 수 있다. 모든 강의 및 자료는 무료 제공되며, 90% 이상 출석하는 경우 한국국제협력단(KOICA)과 제주국제개발협력센터 명의의 수료증이 발급된다. 자세한 사항은 제주국제개발협력센터 홈페이지(https://jjidcc.modoo.at/) 공지사항에서 확인할 수 있다. 제주국제개발협력센터는 제주특별자치도-한국국제협력단(코이카)-제주대학교 3자간 MOU 체결을 통해 제주지역 공적개발원조(ODA)의 핵심거점으로 지역 ODA사업 활성화와 지역의 국제화를 위해 제주대에 설립된 기관이다."
180,성공담에 멘토까지.. ‘CEO에게 듣는다’ 특강 ‘인기몰이’," 제주대학교 진로취업과(대학일자리센터)는 올해 1학기 개설한 ‘CEO에게 듣는다Ⅰ: 기업가정신’ 특강이 인기를 끌고 있다고 3일 밝혔다. 이 강좌가 인기를 끌고 있는 것은 다양한 분야에서 성공한 인사들로부터 직접 성공담 등을 듣고 강의 이후에도 멘토 연결고리가 가능하기 때문이다. 지금까지 젠포유 임송국 대표, 제주페이 문경보 대표, 우정바이오 이종욱 회장, 비엔지티 이소영 부사장, 한국투자파트너스 황만순 대표, 전) CISCO 아시아태평양 서보광 대표, 전) dk service 대표이사, 파노로스 바이오사이언스 최수진 대표가 특강을 진행했다. 최수진 대표는 지난달 29일 ‘나만의 색깔을 가져라’라는 주제로 특강을 했다. 최 대표는 생생한 경험담을 바탕으로 “차세대 리더는 자기만의 색깔을 가진 사람이다. 생태계에서 일관되게 나타나는 특징 중의 하나는 확실한 자기능력이 있을수록 자기 색깔을 명확하게 드러낸다는 것”이라고 말했다. 그러면서 “자기만의 색깔을 가지기 위해서는 기본적인 역량부터 만들어 가야 한다”고 강조했다. 수강자인 양지혜(생활환경복지) 씨는 “자신의 색을 갖는다는 것이 어떤 의미인지, 그러기 위해서는 어떠한 방법을 통해 스스로를 훈련시켜야 하는지 알게 되는 유익한 강의였다”고 참여 소감을 밝혔다. 모두 15차례 이뤄지는 이 강좌는 매주 금요일 오후 2시부터 공과대학 3호관 C107호실에서 2시간 동안 진행되고 있다. 특강은 앞으로 전 팜한농 김용환 대표(꿈만 꾸는 사람, 꿈을 이루는 사람), 대주전자재료 임무현 회장(대주전자재료의 40년 발자취), 에이엠텔레콤 여민기 대표(5G 월드), 하나제약 이윤하 대표(알프스의 소녀 하이디를 만날 꿈을 꿨던 시골 어린이), 조이드컨설팅 조안준 대표(그대가 1도 안부러운 내 삶 살기)가 예정돼 있다."
181,잔류농약 분석기술 ‘FAPAS’ 국제인증 획득," 휴먼인터페이스미디어센터 “도내 농산물 안정성 신뢰도 제고""    제주대학교 휴먼인터페이스미디어센터(센터장 이봉규 교수)는 잔류농약분석 분야의 ‘국제분석능력평가(FAPAS)에 참가해 분석기술 우수성을 세계적으로 인정받았다고 2일 밝혔다. FAPAS(Food Analysis Performance Assessment Scheme)는 영국 식품환경연구청이 주관하는 국제 비교숙련도 프로그램. 잔류농약, 중금속 및 식품첨가물 등 10개 분야 숙련도를 평가하며 세계에서 그 권위를 인정받고 있다. 때문에 세계 각국의 정부기관, 대학 및 민간분석기관 등이 세계 수준의 분석 전문연구소로 인정받기 위해 이 평가에 적극 참여하고 있다. 평가기준은 해당 분야에 참가한 분석기관이 제출한 결과 값으로 평가기준(Z-Score)을 산출해 결과가 절대 값 2이하로 확인되면 분석능력 만족스런 결과로 판단한다. 제주대 휴먼인터페이스미디어센터는 12개 농약성분 모두 ±0.5 이내의 결과 값을 받아 분석능력의 우수성을 인정받았다. 앞서 제주대 휴먼인터페이스미디어센터는 지난 2021년 5월 농산물품질관리원으로부터 ’안전성 검사기관’으로 지정받아  분석 업무를 수행하고 있다. 이정아 분석팀장은 “농약허용물질목록관리제도(PLS) 시행과 관련해 농산물 유해물질 분석 신뢰도를 높이기 위해 국제적 수준의 분석 능력을 유지함으로써 도내 농산물의 안정성 및 소비자 신뢰를 높이겠다”고 말했다. 자세한 사항은 제주대 휴먼인터페이스미디어센터(064-754-3980, http://www.enajeju.com)로 문의하면 된다."
182,"김대경 씨, 제주인재육성 장학생 선발",제주대학교 일반대학원 차세대융복합과학기술협동과정(주임교수 이동선) 석·박사통합과정생인 김대경 씨(지도교수 김소미)가 최근 제주특별자치도와 제주평생교육장학진흥원이 주관한 2022년 제주인재육성 장학생에 선발됐다. 김 씨는 ‘Antioxidant activity of banana flesh and antiproliferative effect on breast and pancreatic cancer cells’(바나나 과육의 항산화 활성 및 유방암 및 췌장암 세포에 대한 증식 억제 효과) 등에 대한 연구실적을 인정받아 성취장학금을 받았다. 제주인재육성 장학금 지원 및 운영은 제주평생교육장학진흥원에서 제주 출신 학생들에게 장학금 지원을 통해 제주의 미래를 견인해 나갈 지역사회의 젊은 인재육성 초석을 마련하기 위한 주요사업 중 하나다.
183,"미래전략 수산생명산업 교육연구단, 제3회 OPEN LAB 개최"," 제주대학교 4단계 BK(Brain Korea)21 미래전략 수산생명산업 교육연구단은 오는 5월 9일  ~13일 수산생명의학과, 해양생명과학과 학부생들을 대상으로 BK 사업과 관련해 연구실을 소개하는 제 3회 OPEN LAB을 진행한다. 이번 개최되는 OPEN LAB은 연구단 소속 우수 대학원생들이 멘토가 돼 수산생명의학과, 해양생명과학과의 10개 분야에 대한 연구실을 공개하고 연구내용을 소개하며 우수한 연구인력 확보를 위한 홍보활동도 진행할 예정이다. 이 프로그램 신청은 오는 5월 2일 마감되며, 관련 내용은 제주대 미래전략 수산생명산업 교육연구단 홈페이지(https://bk21four-sali.jejunu.ac.kr/)에서 확인할 수 있다. 지난 2년 동안 2회의 OPEN LAB 프로그램을 진행했으며 지난해 24명의 학부생들이 참여했다. 해당 프로그램을 통해 참여대학원생들이 습득한 지식과 기술을 학부생들에게 가르쳐주며 연구자 또는 멘토로서 역량을 기를 수 있는 계기가 됐다. 또 대학원 진학을 고민하는 학부생들에게 연구실 체험 외에 참여대학원생 및 지도교수와의 상담을 통해 대학원 진학에 대한 긍정적인 반응을 이끌어냈다. 이 프로그램은 매년 개최해 우수 연구인력 확보를 위해 힘 쓸 예정이다. 전유진 연구단장은 “이번 OPEN LAB 프로그램이 학부생들에게 각 분야의 연구실 환경을 체험하고 대학원에 대한 소개와 홍보를 통해 우수 대학원생을 유치시킬 수 있는 계기가 될 것으로 기대하고 있다”고 말했다. 한편 미래전략 수산생명산업 교육연구단은 2020년부터 2027년까지 연구 활동을 벌이며, 세계를 선도할 수 있는 글로벌 리더 그룹으로 발돋움하기위해 ‘Global Hub : 수산 바이오 선도대학원’이라는 비전을 제시하고 있다. 본 연구단은 수산생명산업 관련 10명의 전임교수와 4명의 신진연구인력, 60명의 석박사 대학원생이 참여하고 있다."
184,파르나스호텔과 산학협력 업무협약," 제주대학교와 파르나스호텔은 지난 28일 제주대에서 산학협력 업무협약을 체결했다. 양 기관은 협약을 통해 지식과 기술 등의 정보를 상호 교환하고, 유기적 협력 관계를 도모하기 위해 상호 협력키로 했다. 협약은 상호발전 및 지원, 전문인재 양성을 위한 산학연계시스템 확립, 관련학과 재학생의 현장견학 및 현장실습 기회 제공, 졸업생들의 취업 정보 교류 등을 주 내용으로 하고 있다. 김일환 총장은 “이번 협약을 통해 관관경영학과와 파르나스호텔이 산업체 맞춤형 인재양성을 위한 교과과정을 개설하고 파르나스호텔 측에서 수업을 진행해 학생들의 취업과도 연계가 될 수 있도록 내실 있는 협약이 되기를 기대한다”고 말했다."
185,문화예술 분야 취업역량 강화 프로그램 진행," 제주대학교 대학일자리플러스센터(센터장 여인규)는 도내 대학생 및 졸업생, 구직 청년들을 대상으로 문화예술 분야 취업역량강화를 위한 프로그램을 진행한다고 29일 밝혔다. 프로그램 일정 및 내용은 △5월 13일 문화예술과 블록체인, NFT(Non-Fungible Token, 희소성을 갖는 디지털 자산을 대표하는 토큰) 온라인 특강 △5월 27일 문화예술 분야 진로탐색 및 취업전략 대면특강 △5월 9~31일 참여자별 맞춤 1대 1 온라인컨설팅이다. 신청은 제주대 E-CLIPs 내 비교과프로그램을 통해, 문의는 대학일자리플러스센터 (064-754-4454)로 하면 된다."
186,"한국운동생리학회, '코로나 후 건강한 삶' 국제학술대회 개최","   (사)한국운동생리학회(회장 김영표 제주대 교수)와 제주대 체육학과는 최근 제주오리엔탈호텔에서 ‘2022 한국운동생리학회 국제학술대회’를 개최했다고 29일 밝혔다. 이번 국제학술대회는 코로나19 이후 건강한 삶을 지속하기 위해 ‘Role of Exercise Science: Moving ahead in the new normal post COVID-19(운동과학의 역할: 코로나-19 이후 새로운 정상화로 나아가다)를 대주제로 열렸다. 행사에선 경희대 의과대학 김창주 교수가 기조 강연을 했고 이어 주제 발표와 토론이 진행됐다. 이번 학술대회 주요 주제 발표 내용은 △뇌 기능에 대한 운동의 이점(Henriette van Praag, 미국 플로리다애틀랜틱대) △운동에 의한 골격근의 국부적 또는 전체적 변화 : 대사적 기전에서부터 정신건강까지(Jorge Lira Ruas, 스웨덴 카롤린스카대 연구소) △지구성 운동 동안 중추 피로 발생과 회복 전략(Takashi Matsui, 일본 쓰쿠바대 △반복적이 스프린트 능력 개선을 위한 훈련 방법 (Yu Liang, 중국 베이징 체육대) △말초 및 중추신경 재생에 관한 새로운 운동치료 접근(서태범, 제주대)이다.  학술대회에는 국내외 학자 및 신진연구자는 250여명이 참석했으며 구두발표 39건, 포스터 발표 81건 등 총 120편의 논문이 발표됐다.    김영표 회장은 “이번 학술대회를 통해 코로나로 지친 심리적ㆍ신체적 문제점 극복을 위한 운동생리학적 접근 방법을 소개함으로써 운동과학의 학술적 위상과 인식의 변화를 주도할 것으로 보이며, 제주도민들에 건강증진을 위한 정책 방향이 재조명되는 계기가 될 것으로 기대한다”고 말했다."
187,"카카오, IT인재 육성 위해 15년간 장학금 3억 지원"," 제주대학교 ‘창의융합형공학인재양성지원사업(구 공학교육혁신센터사업) 카카오트랙’의 참여 기업인 카카오(대표이사 남궁훈)는 28일 제주대 본관3층 회의실에서 공과대학 컴퓨터공학전공과 사범대학 컴퓨터교육과 소속 20명에게 총 2000만원의 장학금을 전달했다. 당초 이 장학금 전달은 지난 2월 계획됐으나 코로나19 확산으로 인해 이날 진행하게 됐다. 이로써 카카오가 지난 15년간 제주대 컴퓨터공학전공과 컴퓨터교육과 학생들을 위해 출연한 장학금은 총 3억 원에 달한다. ‘카카오트랙’은 카카오와 제주대 공학교육혁신센터가 공동으로 운영하는 맞춤형 교육으로 기업체가 필요로 하는 수요자 중심의 인력양성을 목표로 한다. 카카오는 지난 2007년 제주대와 산학 협약을 체결한 후 15년간 카카오트랙을 운영해 왔으며 올해부터 3단계 사업을 시작하고 있다. 카카오 트랙은 기업 맞춤형의 수준 높은 강의를 지향하고 있다. 카카오 임직원들이 트랙 겸임교수로 매 학기 둘 이상의 전공과목을 직접 제주대에서 강의하고 있다. 또 직원과의 멘토링 및 현장실습, 트랙 참여 학생 선발 및 인턴십 프로그램 운영 등을 통해 현장 근무자가 교육에 직접 참여한다는 점에서 다른 산학협력 프로그램에서 벤치마킹할 정도로 국내 대표 우수 사례로 꼽히고 있다. 카카오 트랙을 통해 기업은 IT산업에 최적화된 맞춤형 인재양성을 꾀하고, 대학은 장학금 및 취업률 제고로 기업과 대학이 서로 윈윈(win-win)하는 성공적인 산학협력 모델로 발전하고 있다. 그 결과 지금까지 카카오 트랙을 졸업한 학생은 123명 중 IT기업 취업률은 평균 82%에 이르며 카카오와 주요 IT기업 취업률도 평균 26%에 달한다. 카카오 이재승 제주협력팀 이사는 “카카오트랙을 통해 양성된 제주도의 우수한 IT인재가 카카오와 국내 IT기업에 취업해 카카오트랙의 성과를 증명해 내고 있다”며 “카카오와 제주대는 카카오 트랙 3단계 사업을 통해 제주지역의 IT인재 육성과 지역 IT산업 육성을 위해 적극 협력해 나갈 것”이라고 밝혔다."
188,JDC-LG CNS와 ‘국토부 캠퍼스 혁신파크’ 유치 협약," 대학내 디지털전환 핵심 인프라 ‘데이터센터’ 구축 추진  제주대학교가 4차산업혁명과 디지털전환(DX)의 핵심 인프라인 ‘데이터센터’를 갖추기 위해 ‘국토부 캠퍼스 혁신파크’ 제주 유치에 적극 나서고 있다. 캠퍼스 혁신파크는 대학 유휴부지를 첨단산업단지로 조성, 기업시설과 창업지원시설, 주거·문화시설 등을 설치·유치하는 사업이다. 현재 강원대와 한남대·한양대 에리카캠퍼스·경북대·전남대 등 다섯 곳에서 캠퍼스 혁신파크가 조성 중이다. 수년간 데이터센터는 지자체를 비롯한 여러 기관에서 추진되었으나 성공하지 못했고, 도내에는 아직 하나도 없는 실정이다. 데이터산업과 스마트에너지, 스마트시티의 허브인 데이터센터에 대한 산업계와 학계의 요구를 받아 이번에는 성공할 수 있을지 주목된다. 제주대는 이번 ‘국토부 캠퍼스 혁신사업’ 유치를 위해 캠퍼스 내에 연면적 1만 3000㎡에 달하는 최고의 데이터센터 전용설비를 갖춘 혁신허브 구축을 추진하고 있다. 이에 제주대는 사업의 성공을 위해 지난 27일 제주대에서 제주국제자유도시개발센터(이사장 양영철), 디지털전환 전문기업인 LG CNS(대표 김영섭)와 업무협약을 체결했다. 국가거점국립대학인 제주대는 제주 1호 데이터센터를 유치함으로써 연구와 산학협력 역량을 높이는 계기가 될 것으로 보고 있다.또한 클라우드/데이터 교육과정을 통해 우수 졸업자에 대한 대기업 취업을 연계함으로써 양질의 일자리 창출과 지역 첨단융합산업 활성화에 기여할 것으로 기대하고 있다."
